ID,JMS_TIME,CREATED,UPDATED,BATCH_ID,ENTITY,GROUP,STATUS,STATUS_CODE_DYNAMICS,SOURCE_SYSTEM,LEGAL_ENTITY,EXEC_ID
117042,1.66E+12,9/5/2022 10:30,9/5/2022 10:40,cb730a94-0f40-4ada-b253-f90df787a4f0,GL,GL,SUCCESS,NULL,ARVATO,1013,GL-ARVATO-2022-09-05T10:40:01-BC8EEB0442FC4944BC5E0CA816160D44
117044,1.66E+12,9/5/2022 10:34,9/5/2022 10:35,B-c6365fdf-1974-4662-a74c-e0645b247e90,ORDER,ORDERCUST,SUCCESS,NULL,BOOST,1068,ORDER-BOOST-2022-09-05T10:34:19-DBE550BC7AE24818BEB48781F2E8BB87
117047,1.66E+12,9/5/2022 10:36,9/5/2022 10:38,B-6ae36f50-3f77-4511-899d-dd41dc0118d4,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T10:36:16-5A610F624D0B4645B38988E9CDD5AE97
117048,1.66E+12,9/5/2022 10:36,9/5/2022 10:37,B-359a7cac-0bc4-4474-8b64-101aa51e1457,ORDER,ORDERCUST,SUCCESS,NULL,BILBASEN,1068,ORDER-BILBASEN-2022-09-05T10:36:20-E9BBCE4D681D4516B6C178D547629F1D
117050,1.66E+12,9/5/2022 10:38,9/5/2022 10:40,B-c006e426-5277-4a7f-85d1-9e44109e627a,ORDER,ORDERCUST,SUCCESS,NULL,DBA,1068,ORDER-DBA-2022-09-05T10:38:15-8F6B87E86B4E4C43BB433E4DA1F8D507
117051,1.66E+12,9/5/2022 10:38,9/5/2022 10:40,B-e53cb5be-8bec-4b2c-836f-7f08a5c81d67,ORDER,ORDERCUST,SUCCESS,NULL,FINN_ADMIN,1036,ORDER-FINN_ADMIN-2022-09-05T10:38:20-23FC081B99B44EFFB4B5C27ADF4BC07C
117052,1.66E+12,9/5/2022 10:38,9/5/2022 10:48,B-5734427c-179a-4e27-9024-18160897d3db,ORDER,ORDERCUST,SUCCESS,NULL,DYNCRM,1013,ORDER-DYNCRM-2022-09-05T10:46:46-7C2139192FA74CDAA07FACCE5DBA6905
117053,1.66E+12,9/5/2022 10:39,9/5/2022 10:51,B-ffdfe177-e0aa-4a3f-84e7-db9aa72b6125,ORDER,ORDERCUST,SUCCESS,NULL,DYNCRM,1013,ORDER-DYNCRM-2022-09-05T10:48:45-EE14C3AE0E7F4AFBAC8EF68E8830F0E1
117054,1.66E+12,9/5/2022 10:39,9/5/2022 10:53,B-3d6a734b-deea-4831-8b78-532676418ef7,ORDER,ORDERCUST,SUCCESS,NULL,DYNCRM,1036,ORDER-DYNCRM-2022-09-05T10:51:16-E74F28F695464DB5860E858BFA5B95EB
117056,1.66E+12,9/5/2022 10:42,9/5/2022 10:43,B-832d5400-1b95-4e33-b5b5-bead8cec56ad,ORDER,ORDERCUST,SUCCESS,NULL,BILBASEN,1068,ORDER-BILBASEN-2022-09-05T10:42:16-6AF5B56BB39D479AB0E965309DB28F90
